"id_groups";"sort_groups";"name_groups";"belong_groups";"visibility";"meta_noindex"
"1";"10";"Курительные трубки - мастера и студии";"0";"1";"0"
"2";"300";"BBB (Англия)";"724";"1";"0"
"4";"590";"GBD (Англия)";"724";"0";"0"
"5";"430";"COMOY`S (Англия)";"724";"1";"0"
"6";"20";"Табаки трубочные";"0";"1";"0"
"7";"1200";"ТРУБКИ ЧЕМПИОНАТОВ";"724";"1";"0"
"8";"180";"Курительные трубки BBB SILVER MOUNTED 9 mm";"2";"0";"0"
"9";"30";"Аксессуары для курительных трубок";"0";"1";"0"
"10";"20";"ПОДСТАВКИ И ШКАФЫ ДЛЯ КУРИТЕЛЬНЫХ ТРУБОК";"9";"1";"0"
"11";"30";"ПЕПЕЛЬНИЦЫ";"9";"1";"0"
"12";"40";"ПРИСПОСОБЛЕНИЯ И СРЕДСТВА ПО УХОДУ И ЗАЩИТЕ";"9";"1";"0"
"13";"500";"Dr. PLUMB`S (Англия)";"724";"0";"0"
"14";"220";"Курительные трубки BBB TORTOISE 9 mm";"2";"0";"0"
"15";"150";"Курительные трубки BBB NEPTUNE 9 мм";"2";"0";"0"
"21";"750";"LORENZETTI (Италия)";"724";"1";"0"
"22";"190";"Курительные трубки LORENZETTI LIBERTA 9mm";"21";"1";"0"
"23";"180";"Курительные трубки LORENZETTI Hand Cut EXTRA 9mm";"21";"0";"0"
"24";"10";"Курительные трубки LORENZETTI 70 ANNIVERSARY 9mm";"21";"1";"0"
"25";"170";"Курительные трубки LORENZETTI Hand Cut EXTRA";"21";"0";"0"
"27";"30";"DAN TOBACCO";"6";"0";"0"
"28";"97";"VON EICKEN";"6";"1";"0"
"29";"100";"ALTINAY MEERSCHAUM (Турция)";"724";"1";"0"
"30";"50";"Курительные трубки ALTINAY MEERSCHAUM Topkapi 2000";"29";"0";"0"
"31";"10";"Курительные трубки ALTINAY MEERSCHAUM Pumpkin 6000";"29";"0";"0"
"753";"90";"ANNE JULIE (Дания)";"1";"1";"0"
"33";"240";"Курительные трубки BBB TWO STAR SPECIAL";"2";"0";"0"
"34";"230";"Курительные трубки BBB TURNBERRY SILVER MOUNTED";"2";"0";"0"
"35";"120";"Курительные трубки BBB MAJESTIC";"2";"0";"0"
"36";"90";"Курительные трубки BBB FILTER DE LUXE";"2";"0";"0"
"38";"300";"Курительные трубки BBB VICTORIAN";"2";"0";"0"
"39";"170";"Курительные трубки BBB SILVER MOUNTED";"2";"0";"0"
"40";"130";"Курительные трубки BBB MINERVA";"2";"0";"0"
"41";"250";"Курительные трубки BBB TWO THOUSAND";"2";"0";"0"
"43";"157";"Курительные трубки BBB SЕLECT";"2";"0";"0"
"44";"155";"Курительные трубки BBB SAVOY";"2";"0";"0"
"46";"100";"Курительные трубки BBB LIGHTWEIGHT";"2";"0";"0"
"1058";"0";"ПРОБНИКИ SAMUEL GAWITH";"396";"1";"0"
"48";"210";"Курительные трубки BBB TORTOISE";"2";"0";"0"
"51";"80";"Курительные трубки BBB FIESTA";"2";"0";"0"
"49";"160";"Курительные трубки BBB SILVER GRAIN";"2";"0";"0"
"50";"190";"Курительные трубки BBB SPIGOT DE LUXE";"2";"0";"0"
"52";"200";"Курительные трубки BBB SUNRISE";"2";"0";"0"
"53";"70";"Курительные трубки BBB FACET";"2";"0";"0"
"54";"60";"Курительные трубки BBB COLLECTOR";"2";"0";"0"
"56";"205";"Курительные трубки BBB THREE STAR";"2";"0";"0"
"55";"140";"Курительные трубки BBB NEPTUNE";"2";"0";"0"
"58";"50";"Курительные трубки BBB CHURCHWARDEN";"2";"0";"0"
"59";"110";"Курительные трубки BBB LIGHTWEIGHT carved";"2";"0";"0"
"60";"63";"PETERSON";"6";"1";"0"
"61";"70";"Курительные трубки ALTINAY MEERSCHAUM Портретные трубки";"29";"0";"0"
"62";"60";"Курительные трубки ALTINAY MEERSCHAUM Животные";"29";"0";"0"
"64";"60";"ЕРШИ";"9";"1";"0"
"65";"10";"СУМКИ И КИСЕТЫ";"9";"1";"0"
