"id_param";"id_groups";"name_param";"unit_param";"sort_param";"visibility";"factor"
"1";"1";"Материал чаши";;"1";"1";"0"
"2";"1";"Мундштук";;"2";"1";"0"
"3";"1";"Декорация";;"3";"1";"0"
"4";"1";"Длина";"см";"6";"1";"0"
"5";"1";"Вес";"г";"9";"1";"0"
"6";"1";"Высота чаши";"мм";"5";"0";"0"
"7";"1";"Диаметр чаши";"мм";"4";"0";"0"
"8";"1";"Глубина табачной камеры";"мм";"8";"1";"0"
"9";"1";"Диаметр табачной камеры";"мм";"7";"1";"0"
"10";"1";"Фильтр";;"10";"1";"0"
"11";"90";"Высота";"см.";"1";"0";"0"
"12";"90";"Диаметр колбы";"мм.";"2";"0";"0"
"13";"90";"Вес";"г.";"3";"0";"0"
"14";"90";"Материал металлической части";;"4";"0";"0"
"15";"90";"Материал колбы";;"5";"0";"0"
"16";"90";"Материал чашки";;"6";"0";"0"
"27";"110";"Длина";"мм";"100";"0";"0"
"201";"10";"Вес";"г.";"100";"0";"0"
"202";"10";"Материал";;"100";"0";"0"
"203";"92";"Вес";"г.";"100";"0";"0"
"204";"92";"Длина";"см.";"100";"0";"0"
"205";"92";"Диаметр";"мм.";"100";"0";"0"
"206";"92";"Высота";"мм.";"100";"0";"0"
"207";"92";"Материал";;"100";"0";"0"
"208";"454";"Материал";;"10";"0";"0"
"209";"454";"Длина";"см";"20";"0";"0"
"210";"454";"Диаметр";"мм";"30";"0";"0"
"211";"454";"Длина цапфы";"мм";"40";"0";"0"
"212";"454";"Диаметр цапфы";"мм";"50";"0";"0"
"213";"454";"Фильтр";;"70";"0";"0"
"214";"454";"Кольцо";;"60";"0";"0"
"215";"478";"Материал чаши";;"1";"0";"0"
"216";"478";"Материал мундштука";;"2";"0";"0"
"217";"478";"Диаметр";"мм";"4";"0";"0"
"218";"478";"Длина";"см";"3";"0";"0"
"219";"724";"Материал чаши";;"1";"0";"0"
"220";"724";"Мундштук";;"2";"0";"0"
"221";"724";"Кольцо";;"3";"0";"0"
"222";"724";"Диаметр чаши";"мм";"4";"0";"0"
"223";"724";"Высота чаши";"мм";"5";"0";"0"
"224";"724";"Длина";"см";"6";"0";"0"
"225";"724";"Диаметр табачной камеры";"мм";"7";"0";"0"
"226";"724";"Высота табачной камеры";"мм";"8";"0";"0"
"227";"724";"Вес";"грамм";"9";"0";"0"
"228";"724";"Фильтр";;"10";"0";"0"
"229";"1069";"Material";;"1";"0";"0"
"230";"1069";"Stem Material";;"2";"0";"0"
"231";"1069";"Decoration";;"3";"0";"0"
"232";"1069";"Outside Diameter";"mm";"4";"0";"0"
"233";"1069";"Bowl Height";"mm";"5";"0";"0"
"234";"1069";"Length";"mm";"6";"0";"0"
"235";"1069";"Chamber Diameter";"mm";"7";"0";"0"
"236";"1069";"Chamber Depth";"mm";"8";"0";"0"
"237";"1069";"Weight";"g";"9";"0";"0"
"238";"1";"Фасон";;"100";"1";"0"
