"id_field";"name_field";"descript_field";"type_field";"value_default";"sort_field";"visibility";"area_table";"select_field"
"1";"name_user";"Имя";"text";;"10";"1";"1";"(*)"
"2";"s_name_user";"Фамилия";"text";;"5";"1";"1";"(*)"
"3";"o_name_user";"Отчество";"text";;"15";"1";"1";
"4";"email_user";"Контактный еmail";"text";;"20";"1";"1";"(*)"
"5";"telephone";"Контактный телефон";"text";;"35";"1";"1";
"6";"fax";"Факс";"text";;"40";"1";"1";
"7";"area";"Область";"text";;"50";"1";"2";
"8";"city";"Город";"text";;"55";"1";"2";"(*)"
"9";"street";"Улица";"text";;"60";"1";"2";"(*)"
"10";"house";"Дом";"text";;"65";"1";"2";"(*)"
"11";"body";"Корпус";"text";;"70";"1";"2";
"12";"entrance";"Подъезд";"text";;"75";"1";"2";
"13";"code";"Код";"text";;"80";"1";"2";
"14";"floor";"Этаж";"text";;"85";"1";"2";"(*)"
"15";"apartment";"Квартира (офис)";"text";;"90";"1";"2";"(*)"
"17";"company";"Компания";"text";"нет";"95";"1";"3";"(*)"
"18";"legal_address";"Юридический адрес";"text";"нет";"100";"1";"3";"(*)"
"19";"actual_address";"фактический адрес(почтовый)";"text";"нет";"105";"1";"3";"(*)"
"20";"inn";"ИНН";"text";"нет";"110";"1";"3";"(*)"
"21";"kpp";"КПП";"text";;"115";"1";"3";
"22";"okpo";"ОКПО";"text";;"120";"1";"3";
"23";"okhx";"ОКНХ";"text";;"125";"1";"3";
"24";"bank_name";"Наименование банка";"text";;"130";"1";"3";
"25";"rs_count";"Pасчетный счет";"text";;"135";"1";"3";
"26";"kor_count";"Кор. счет";"text";;"140";"1";"3";
"27";"bik";"БИК";"text";;"145";"1";"3";
"16";"lift";"Лифт";"radio";;"45";"1";"1";
"29";"dop_content";"Дополнительная информация";"textarea";;"150";"1";"3";
"30";"password";"Пароль";"password";;"25";"1";"1";"(*)"
"31";"password1";"Повторить пароль";"password";;"30";"1";"1";"(*)"
"34";"post_index";"Почтовый индекс";"text";;"0";"1";"2";
