"id";"id_orders";"id_wares";"code_wares";"name_wares";"amount";"price_for_one";"partnumber"
"6";"8";"29";"6882";"BRITISH BUTTNER";"1";"9.6";
"12";"12";"29";"6882";"BRITISH BUTTNER";"2";"9.6";
"10";"12";"5";"0";"Bjarne, Кубок Петра 2003.";"1";"30";
"13";"8";"69";"450201";"Dr. PLUMB`S MEERSCHAUM LINED 01";"1";"40";
"14";"5";"58";"450212";"Dr. PLUMB`S MEERSCHAUM LINED 12";"1";"40";
"15";"14";"146";"0";"Mastro de Paja Dark Sandblast";"1";"130";
"16";"15";"5";"0";"Bjarne, Кубок Петра 2003.";"1";"30";
"18";"18";"29";"6882";"BRITISH BUTTNER";"1";"9.6";
"19";"19";"67";"450203";"Dr. PLUMB`S MEERSCHAUM LINED 03";"1";"40";
"20";"20";"4";"0";"Amadeus, II чемпионат Санкт-Петербурга по курению трубки.";"1";"20";
"21";"21";"29";"6882";"BRITISH BUTTNER";"1";"9.6";
"22";"21";"128";"380002257";"&quot;LORENZETTI&quot; Hand Cut EXTRA 057";"1";"180";
"23";"22";"5";"0";"Bjarne, Кубок Петра 2003.";"1";"30";
"24";"23";"29";"6882";"BRITISH BUTTNER";"1";"9.6";
"25";"24";"200";"350133907";"SMALL PIPE мод. 07 (гладкая bent dublin)";"1";"42";
"26";"25";"181";"0";"Von Eicken &quot;Private Club&quot; 50 g";"1";"5.17";
"27";"25";"184";"0";"Von Eicken &quot;Wild Geese&quot; 50 g";"1";"4.22";
"28";"25";"194";"350133901";"SMALL PIPE мод. 01 (гладкая прямая)";"2";"42";
"31";"26";"22";"150733";"&quot;Комфорт&quot; U. SPOON RESTS ROUND BASE ROSE WOOD";"1";"8";
"30";"25";"200";"350133907";"SMALL PIPE мод. 07 (гладкая bent dublin)";"1";"42";
"32";"26";"178";"0";"Bulldog Medium Strenght";"1";"8.17";
"33";"26";"199";"350133906";"SMALL PIPE мод. 06 (резная full bent)";"1";"42";
"34";"27";"204";"350133914";"SMALL PIPE мод. 14 (резная bent bulldog)";"1";"42";
"35";"28";"199";"350133906";"SMALL PIPE мод. 06 (резная full bent)";"1";"42";
"42";"32";"11";"150653";"&quot;Комфорт&quot; Q. COCONUT WOOD HOLDS 5 pipes";"1";"45";
"41";"31";"425";"35077101";"CAVALIER";"1";"42";
"39";"28";"167";"0";"Likedeeler 50g";"1";"8.17";
"40";"28";"154";"0";"Sweet VANILLA Honeydew 50g";"1";"8.17";
"43";"32";"29";"6882";"BRITISH BUTTNER";"1";"9.6";
"44";"32";"419";"0";"STRAIGHT VANILLA 100 g";"1";"17.69";
"45";"32";"428";"35077105";"BACUS";"1";"42";
"46";"33";"18";"150945";"PALM WOOD  DRAGON SINGLE SPOON";"1";"35";
"47";"34";"29";"6882";"BRITISH BUTTNER";"1";"9.6";
"48";"34";"380";"424039877";"BBB SUNRISE № 39877";"1";"48";
"49";"35";"5";"0";"Bjarne, Кубок Петра 2003.";"1";"30";
"50";"36";"428";"35077105";"BACUS";"1";"42";
"51";"37";"410";"425006";"BBB THREE STAR № 06";"1";"48";
"52";"38";"392";"424436";"BBB COLLECTOR № 36";"1";"92";
"53";"39";"201";"350133909";"SMALL PIPE мод. 09 (гладкая bent apple)";"1";"42";
"54";"40";"454";"35077122";"BRAINCASE";"1";"42";
"90";"62";"455";"18001";"Сумка для 4-х трубок, табака и аксессуаров";"1";"52.2";
"56";"42";"201";"350133909";"SMALL PIPE мод. 09 (гладкая bent apple)";"1";"42";
"62";"46";"5";"0";"Bjarne, Кубок Петра 2003.";"1";"30";
"58";"44";"29";"6882";"BRITISH BUTTNER";"1";"9.6";
"59";"45";"341";"422102";"BBB BURGUNDY № 02";"1";"29";
"60";"45";"441";"0";"&quot;ТАБАЧНАЯ ЛАВКА&quot; жесткие 80 шт.";"1";"2";
"61";"45";"29";"6882";"BRITISH BUTTNER";"1";"9.6";
"63";"46";"29";"6882";"BRITISH BUTTNER";"1";"9.6";
"70";"46";"197";"350133904";"SMALL PIPE мод. 04 (резная 1/8 bent)";"1";"42";
"65";"46";"204";"350133914";"SMALL PIPE мод. 14 (резная bent bulldog)";"1";"42";
"66";"47";"439";"10245";"Peterson Irish Oak 50 g";"1";"8.2";
"67";"47";"470";"0";"Savinelli Roma 128, Baltic Cup 2004 St. Petersburg";"1";"40";
"68";"48";"9";"150651";"&quot;Комфорт&quot; Q. SHELL ROSE WOOD HOLDS 5 pipes";"1";"45";
"69";"49";"441";"0";"&quot;ТАБАЧНАЯ ЛАВКА&quot; жесткие 80 шт.";"1";"2";
"71";"50";"387";"424215";"BBB FACET № 15";"1";"105";
"72";"51";"197";"350133904";"SMALL PIPE мод. 04 (резная 1/8 bent)";"1";"42";
"73";"51";"452";"35077120";"MAMMOTH";"1";"42";
"74";"52";"440";"0";"BARI WIKING MODELL 2004";"1";"114";
"75";"53";"203";"350133913";"SMALL PIPE мод. 13 (гладкая bent bulldog)";"1";"42";
"76";"54";"4";"0";"Amadeus, II чемпионат Санкт-Петербурга по курению трубки.";"1";"20";
"77";"54";"5";"0";"Bjarne, Кубок Петра 2003.";"1";"30";
"78";"54";"470";"0";"Savinelli Roma 128, Baltic Cup 2004 St. Petersburg";"1";"40";
"89";"62";"438";"10252";"Peterson Sherlock Holmes 50 g";"1";"8.8";
"80";"56";"4";"0";"Amadeus, II чемпионат Санкт-Петербурга по курению трубки.";"1";"20";
"81";"56";"5";"0";"Bjarne, Кубок Петра 2003.";"1";"30";
"82";"56";"470";"0";"Savinelli Roma 128, Baltic Cup 2004 St. Petersburg";"1";"40";
"85";"59";"203";"350133913";"SMALL PIPE мод. 13 (гладкая bent bulldog)";"1";"42";
"86";"55";"72";"3800053";"&quot;LORENZETTI&quot; LIBERTA rustic";"1";"70";
"91";"63";"29";"6882";"BRITISH BUTTNER";"2";"9.6";
"94";"66";"29";"6882";"BRITISH BUTTNER";"1";"9.6";
"93";"65";"29";"6882";"BRITISH BUTTNER";"1";"9.6";
"95";"66";"412";"425004";"BBB THREE STAR № 04";"1";"48";
"96";"66";"456";"18004";"Сумка для трубки и табака с клапаном";"1";"21";
"97";"67";"687";"0";"JIRSA STANDARD №27";"1";"62";
"98";"68";"402";"424904";"BBB LIGHTWEIGHT carved № 04";"1";"23";
"99";"68";"468";"18016";"Кисет для трубки комбинированный";"1";"5.5";
"100";"69";"147";"0";"The Malt House 50g";"1";"5.43";
"101";"69";"150";"0";"Sweet VANILLA Honeydew 50g";"1";"5.43";
"102";"69";"156";"0";"Torben Dansk 13 Cafe Creme 50 g";"1";"5.43";
"103";"69";"182";"0";"Von Eicken &quot;Rosebud&quot; 50 g";"2";"4.9";
"104";"69";"185";"0";"Von Eicken &quot;Calume&quot; 100 g";"1";"13.61";
"105";"69";"422";"0";"Von Eicken &quot;Private Club&quot; 100 g";"2";"13.61";
"106";"69";"441";"0";"&quot;ТАБАЧНАЯ ЛАВКА&quot; жесткие 80 шт.";"3";"2";
"107";"70";"196";"350133903";"SMALL PIPE мод. 03 (гладкая 1/8 bent)";"1";"42";
