"id_wares";"partnumber";"code_wares";"id_vendor";"sort_wares";"name_wares";"descript_wares";"belong_groups";"visibility";"new";"new_time";"sellout";"amount";"shop_win";"description";"price";"price_old";"warranties";"meta_noindex";"yandex";"transit"
"4";;"0";"2";"100";"Курительная трубка Amadeus, II чемпионат Санкт-Петербурга по курению трубки.";;"7";"0";"0";;"0";"0";"0";"1";"20";"0";"0";"0";"0";"0"
"70";"190.541";"3800051";"4";"100";"Курительная трубка LORENZETTI LIBERTA natural";;"22";"1";"0";;"0";"1";"0";"1";"190.541";"0";"0";"0";"0";"0"
"16";"51.487";"150943";"0";"100";"COCONUT WOOD  DRAGON SINGLE SPOON";;"354";"0";"0";;"0";"0";"0";"1";"51.487";"0";"0";"0";"0";"0"
"17";"49.325";"150944";"0";"100";"ROSE WOOD  DRAGON SINGLE SPOON";;"354";"0";"0";;"0";"0";"0";"1";"49.325";"0";"0";"0";"0";"0"
"18";"49.325";"150945";"0";"100";"PALM WOOD  DRAGON SINGLE SPOON";;"354";"0";"0";;"0";"0";"0";"1";"49.325";"0";"0";"0";"0";"0"
"19";"49.325";"150946";"0";"100";"COCONUT WOOD  DRAGON SINGLE SPOON";;"354";"0";"0";;"0";"0";"0";"1";"49.325";"0";"0";"0";"0";"0"
"20";"22.973";"150733";"94";"100";"&quot;Комфорт&quot; U. SPOON RESTS ROUND BASE COCONUT WOOD";;"354";"1";"0";;"0";"1";"0";"1";"22.973";"0";"0";"0";"0";"0"
"21";"22.973";"150732";"94";"100";"&quot;Комфорт&quot; U. SPOON RESTS ROUND BASE PALM WOOD";;"354";"1";"0";;"0";"1";"0";"1";"22.973";"0";"0";"0";"0";"0"
"22";"16.2162";"150731";"0";"100";"&quot;Комфорт&quot; U. SPOON RESTS ROUND BASE ROSE WOOD";;"354";"0";"0";;"0";"0";"0";"1";"16.2162";"0";"0";"0";"0";"0"
"23";"31.0811";"1506411";"94";"100";"T. SOFA BACK REST 1 PIPE ROSE WOOD";;"354";"1";"0";;"0";"1";"0";"1";"31.0811";"0";"0";"0";"0";"0"
"25";"28.3784";"1506431";"94";"100";"T. SOFA BACK REST 1 PIPES COCONUT WOOD";;"354";"1";"0";;"0";"1";"0";"1";"28.3784";"0";"0";"0";"0";"0"
"26";"42 евро 102.703";"150662";"0";"100";"Подставка-пепельница для одной трубки PALM WOOD";;"748";"1";"0";;"0";"1";"0";"1";"102.703";"0";"0";"0";"0";"0"
"27";"45 евро 109.46";"150661";"0";"100";"Подставка-пепельница для одной трубки ROSE WOOD";;"748";"0";"0";;"0";"0";"0";"1";"109.46";"0";"0";"0";"0";"0"
"28";"42 евро 102.703";"150663";"0";"100";"Подставка-пепельница для одной трубки COCONUT WOOD";;"748";"1";"0";;"0";"1";"0";"1";"102.703";"0";"0";"0";"0";"0"
"29";"12.17";"6882";"0";"100";"BRITISH BUTTNER";"PIPESHOP.RU рекомендует!";"12";"0";"0";;"0";"0";"0";"1";"30";"0";"0";"0";"0";"0"
"31";;"42652";"0";"100";"Курительная трубка BBB TORTOISE 9 mm 368";;"14";"0";"0";;"0";"1";"0";"1";"156.757";"0";"0";"0";"0";"0"
"32";"125.676";"42653";"0";"100";"Курительная трубка BBB TORTOISE 9 mm 307";;"14";"0";"0";;"0";"1";"0";"1";"156.757";"0";"0";"0";"0";"0"
