"id_unorder";"id_wares";"price_unorder";"date_unorder";"amount_unorder";"id_user"
"261";"5954";"400";"2015-12-06";"3";"10257"
"262";"9436";"0";"2015-12-17";"0";"9815"
"263";"9451";"0";"2015-12-17";"0";"9815"
"266";"729";"0";"2016-02-03";"1";"10496"
"312";"20551";"1440";"2016-10-28";"10";"11520"
"313";"20549";"720";"2016-10-28";"5";"11520"
"314";"19981";"600";"2016-10-28";"5";"11520"
"315";"4395";"0";"2016-11-11";"0";"10337"
"316";"4435";"0";"2016-11-11";"0";"10337"
"317";"4434";"0";"2016-11-11";"0";"10337"
"318";"3925";"0";"2016-11-11";"0";"10337"
"319";"1277";"0";"2016-11-11";"0";"10337"
"320";"1276";"0";"2016-11-11";"0";"10337"
"321";"16940";"0";"2016-11-30";"0";"11622"
"322";"20937";"0";"2016-12-01";"1";"11454"
"323";"19068";"0";"2016-12-04";"1";"9682"
"324";"17766";"0";"2016-12-04";"1";"9682"
"325";"17718";"0";"2016-12-04";"1";"9682"
"326";"17715";"0";"2016-12-04";"1";"9682"
"327";"17265";"0";"2016-12-04";"1";"9682"
"328";"14509";"0";"2016-12-13";"0";"7634"
"329";"21632";"0";"2016-12-14";"1";"10337"
"330";"16940";"0";"2016-12-17";"1";"10650"
"331";"17411";"0";"2016-12-21";"1";"7634"
"332";"4930";"0";"2016-12-26";"4";"11712"
"333";"17357";"0";"2017-01-03";"1";"10458"
"334";"20937";"0";"2017-01-07";"1";"11454"
"335";"20447";"0";"2017-01-07";"1";"11454"
"336";"1251";"0";"2017-01-09";"15";"2097"
"337";"20635";"0";"2017-01-14";"1";"8473"
"338";"14509";"0";"2017-01-19";"0";"7634"
"339";"14506";"0";"2017-01-19";"0";"7634"
"340";"10048";"0";"2017-02-10";"0";"10815"
"341";"19983";"0";"2017-02-10";"0";"10815"
"342";"22004";"0";"2017-02-14";"0";"7634"
"343";"22002";"0";"2017-02-14";"0";"7634"
"344";"22000";"0";"2017-02-14";"0";"7634"
"346";"13507";"0";"2017-03-23";"10";"4782"
"347";"20638";"0";"2017-05-04";"1";"8473"
"348";"20635";"0";"2017-05-04";"1";"8473"
"349";"18574";"0";"2017-05-04";"1";"8473"
"351";"16285";"0";"2017-06-16";"1";"9893"
"352";"16285";"0";"2017-06-16";"1";"9893"
"353";"22381";"20000";"2017-06-18";"1";"11609"
"354";"16410";"19";"2017-08-20";"1";"12316"
"355";"16941";"0";"2017-10-04";"0";"12421"
"356";"16943";"0";"2017-10-04";"0";"12421"
"357";"3925";"1300";"2017-11-09";"1";"12484"
"358";"1266";"1300";"2017-11-09";"1";"12484"
"359";"2138";"0";"2017-11-15";"1";"12562"
"360";"29";"0";"2017-11-15";"1";"12562"
"361";"3951";"0";"2017-12-09";"0";"7634"
"362";"3951";"0";"2017-12-12";"0";"7634"
"363";"12261";"0";"2017-12-14";"0";"7634"
"364";"23651";"0";"2017-12-24";"1";"650"
"365";"3951";"0";"2018-01-10";"0";"7634"
"366";"19401";"0";"2018-01-12";"0";"7634"
"367";"13507";"0";"2018-01-12";"10";"4782"
